User's manual r01uh0146jj0340-rl78g13; Version 1.00; June 20, 2018
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
ADM2,11. 3. 4 A/Dコンバータ・モード・レジスタ2（ADM2）,図11－7A/Dコンバータ・モード・レジスタ2（ADM2）のフォーマット（1/2）,,,
ADTYP,11. 3. 4 A/Dコンバータ・モード・レジスタ2（ADM2）,図11－7A/Dコンバータ・モード・レジスタ2（ADM2）のフォーマット（2/2）,2,,
AWC,11. 3. 4 A/Dコンバータ・モード・レジスタ2（ADM2）,図11－7A/Dコンバータ・モード・レジスタ2（ADM2）のフォーマット（2/2）,2,,
ADRCK,11. 3. 4 A/Dコンバータ・モード・レジスタ2（ADM2）,図11－7A/Dコンバータ・モード・レジスタ2（ADM2）のフォーマット（2/2）,2,,
ADUL,11. 3. 8 変換結果比較上限値設定レジスタ（ADUL）,図11－12変換結果比較上限値設定レジスタ（ADUL）のフォーマット,,,
ADLL,11. 3. 9 変換結果比較下限値設定レジスタ（ADLL）,図11－13変換結果比較下限値設定レジスタ（ADLL）のフォーマット,,,
ADTES,11. 3. 10 A/Dテスト・レジスタ（ADTES）,図11－14A/Dテスト・レジスタ（ADTES）のフォーマット,,A/Dコンバータ,
ADTES,22. 3. 8 A/Dテスト機能,図22－16A/Dテスト・レジスタ（ADTES）のフォーマット,,安全機能,
PU0,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU1,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU3,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU4,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU5,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU6,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU7,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU8,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU9,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU10,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU11,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU12,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU14,4. 3. 3 プルアップ抵抗オプション・レジスタ（PUxx）,図4－3プルアップ抵抗オプション・レジスタのフォーマット,,,
PIM0,4. 3. 4 ポート入力モード・レジスタ（PIMxx）,図4－4ポート入力モード・レジスタのフォーマット（128ピン製品）,,,
PIM1,4. 3. 4 ポート入力モード・レジスタ（PIMxx）,図4－4ポート入力モード・レジスタのフォーマット（128ピン製品）,,,
PIM4,4. 3. 4 ポート入力モード・レジスタ（PIMxx）,図4－4ポート入力モード・レジスタのフォーマット（128ピン製品）,,,
PIM5,4. 3. 4 ポート入力モード・レジスタ（PIMxx）,図4－4ポート入力モード・レジスタのフォーマット（128ピン製品）,,,
PIM8,4. 3. 4 ポート入力モード・レジスタ（PIMxx）,図4－4ポート入力モード・レジスタのフォーマット（128ピン製品）,,,
PIM14,4. 3. 4 ポート入力モード・レジスタ（PIMxx）,図4－4ポート入力モード・レジスタのフォーマット（128ピン製品）,,,
POM0,4. 3. 5 ポート出力モード・レジスタ（POMxx）,図4－5ポート出力モード・レジスタのフォーマット,,,
POM1,4. 3. 5 ポート出力モード・レジスタ（POMxx）,図4－5ポート出力モード・レジスタのフォーマット,,,
POM4,4. 3. 5 ポート出力モード・レジスタ（POMxx）,図4－5ポート出力モード・レジスタのフォーマット,,,
POM5,4. 3. 5 ポート出力モード・レジスタ（POMxx）,図4－5ポート出力モード・レジスタのフォーマット,,,
POM7,4. 3. 5 ポート出力モード・レジスタ（POMxx）,図4－5ポート出力モード・レジスタのフォーマット,,,
POM8,4. 3. 5 ポート出力モード・レジスタ（POMxx）,図4－5ポート出力モード・レジスタのフォーマット,,,
POM9,4. 3. 5 ポート出力モード・レジスタ（POMxx）,図4－5ポート出力モード・レジスタのフォーマット,,,
POM14,4. 3. 5 ポート出力モード・レジスタ（POMxx）,図4－5ポート出力モード・レジスタのフォーマット,,,
